Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Actor,CountryOfOrigin,Director,Editor,Genre,Producer,Writer,activation_threshold,decay_factor,fromDecade,inLanguage,ndcg
2022-03-25 16:31:27,1.6min,2aad0971d267459b8cbc5e618edec9a3,,LOCAL,C:/Users/Jana/Documents/skola/recommender_systems/CB-recommender/training.py,Jana,FINISHED,0.2874795113691516,0.7180311226016451,0.1464575511712295,0.30166430284572754,0.488309903539311,0.38149987963718607,0.6119754466333914,0.4251897147976716,0.06672218543662864,0.4189783901029771,0.48414825831514907,0.062038771295270315
2022-03-25 16:36:56,1.6min,85ce85e99658427eb73fc325619f380e,,LOCAL,C:/Users/Jana/Documents/skola/recommender_systems/CB-recommender/training.py,Jana,FINISHED,0.10263722842556933,0.6072652454029076,0.1638573262384292,0.30914031526093166,0.6222838363512514,0.20945193914969015,0.5462339687524393,0.39817118629523685,0.05139163688769725,0.6379967121150167,0.5998899160777642,0.05790399405759755
2022-03-25 16:38:31,1.7min,19057316ef6f4c89b498798822b52ae5,,LOCAL,C:/Users/Jana/Documents/skola/recommender_systems/CB-recommender/training.py,Jana,FINISHED,0.10237835210260934,0.7739261483349537,0.1028211110670985,0.1548144314565131,0.7064615646498128,0.20611896364630208,0.5198695542583712,0.47998426821293705,0.05509188172123448,0.616430446326008,0.6254563065286957,0.05750815765821132
2022-03-25 15:00:19,2.0min,081315238d6e4b73a5309cba2ef3c5f7,,LOCAL,C:/Users/Jana/Documents/skola/recommender_systems/CB-recommender/training.py,Jana,FINISHED,0.48033708018030663,0.23883913886603486,0.738452411281259,0.33703045536085297,0.4076647301528619,0.5792781861841925,0.7943372023243259,0.21558180439912997,0.13629921128236624,0.20893401344670248,0.2770745432859203,0.05676979351757137
2022-03-25 17:23:52,1.6min,0dc46a83618d4da085988fe14536c67e,,LOCAL,C:/Users/Jana/Documents/skola/recommender_systems/CB-recommender/training.py,Jana,FINISHED,0.17828511416327705,0.7713597564044713,0.39752852832527424,0.2438012015750619,0.4774469058700811,0.45381071157275804,0.3643736889807434,0.4037276101424754,0.06518963880279421,0.496117048065456,0.6465859293476343,0.05667860911142941
2022-03-25 14:53:40,1.6min,5a398bf1bff94368a6e6faf7cf484f7f,,LOCAL,C:/Users/Jana/Documents/skola/recommender_systems/CB-recommender/training.py,Jana,FINISHED,0.7292493297853107,0.32324125447798313,0.36883148494165774,0.28760476514803623,0.24330623878732716,0.5265852626114089,0.7440780638970547,0.25239861289841764,0.0755876401623411,0.17792745628242487,0.2644612059543592,0.05637377979612675
2022-03-25 14:56:53,1.7min,60e58b2abac1472caae18c2017fc8ec0,,LOCAL,C:/Users/Jana/Documents/skola/recommender_systems/CB-recommender/training.py,Jana,FINISHED,0.617081920612688,0.7941507866404994,0.13333239342728542,0.11401240539317616,0.45751461167262986,0.5711091611913941,0.5599588123029476,0.34061373106556747,0.05809415730486081,0.2648462327551123,0.4620626887674388,0.056089687114436994
2022-03-25 14:55:16,1.6min,ad379f82700f4c1cad8104fd9634d82a,,LOCAL,C:/Users/Jana/Documents/skola/recommender_systems/CB-recommender/training.py,Jana,FINISHED,0.5989073693846987,0.7981857992212824,0.1729827799745979,0.12669729510470054,0.4774347632915937,0.5711788196472767,0.1399402236700507,0.36569759679976255,0.05317967688431385,0.27074922667165696,0.4630600180060467,0.0548023550381022
2022-03-25 15:14:16,1.6min,491e54a13c894b47bafbc9a28aeb50fc,,LOCAL,C:/Users/Jana/Documents/skola/recommender_systems/CB-recommender/training.py,Jana,FINISHED,0.3534823565911186,0.17302973739118463,0.4121044989590158,0.3576194769956453,0.2674319566911022,0.7766302547330862,0.7900867044506108,0.14898025962920486,0.05260683429002727,0.21504319319223444,0.4147126478678531,0.05321754143277464
2022-03-25 17:04:24,1.7min,42d4b0dc336647c6b47f93a5b90409b9,,LOCAL,C:/Users/Jana/Documents/skola/recommender_systems/CB-recommender/training.py,Jana,FINISHED,0.1083677743790899,0.7817930975721473,0.10387253649674377,0.14826480075654727,0.752991265805046,0.21249953531988405,0.5307156521400396,0.4855555687424702,0.05030119138334016,0.6263193878916355,0.620695564019926,0.0528934488043827
2022-03-25 15:08:57,1.7min,74e96fd621f2448b893af1633e1cd176,,LOCAL,C:/Users/Jana/Documents/skola/recommender_systems/CB-recommender/training.py,Jana,FINISHED,0.3976999586811993,0.22571451036707796,0.23662533272680394,0.38148157574562813,0.10051675803656801,0.6077362014340076,0.7940550696882365,0.18709173548017383,0.12703881933228495,0.19675366141780543,0.32180210012136723,0.05039434903889008
2022-03-25 17:42:49,1.9min,3dcafc9235a048f2bc27b76eaf344b6a,,LOCAL,C:/Users/Jana/Documents/skola/recommender_systems/CB-recommender/training.py,Jana,FINISHED,0.2877363243583282,0.5954766184191609,0.30401178551245406,0.5332851762003583,0.5958153078346224,0.3434131069637011,0.4202505166128233,0.47070841428624255,0.05146578139813182,0.7470965930214418,0.5017413476075152,0.04642136302931788
2022-03-25 15:10:39,2.0min,a3d1aeff800a4460a8bec11db8668a04,,LOCAL,C:/Users/Jana/Documents/skola/recommender_systems/CB-recommender/training.py,Jana,FINISHED,0.45852193666139884,0.2957117094377074,0.2798174004193266,0.19595008481821843,0.5320086660889245,0.32440334217862976,0.16477775295261948,0.23325869518944767,0.15532460176722265,0.14903080840511337,0.16034949265886533,0.04615481355904295
